video_id,author,comment,
O2xb1lVqUv4,@FadhilFadhil-u4b1w,lebih support channel om deddy ketimbang channel sebelah dengan subs terbanyak (User Fanatik MINIM INOVASI) ??????,
O2xb1lVqUv4,@aldicnajajajxnx3219,"Ga dibayar katanya si dedi, padahal dulu nyepong samsung dalam banget wkwkwkwk<br>Yg paling gua ingat ttg foto bulan yg katanya lensa tele.<br>Nanti jalan beberapa bulan ternyata itu produk AI.<br>Langsung kicep dia ga berani gembor2in lensa tele samsung lagi ????",
O2xb1lVqUv4,@Uvuvwevwevwe-OU-Osas,"Dulu Huawei dengan Harmony OS  digadang2 bakal menggebrak dunia teknologi, eh kini kini tampil sangat buruk ....",
O2xb1lVqUv4,@AdiRozak-o9g,Ku dukung siapapun narasumber pak Helmy Pi tolong blacklist penghancur timnas indo koci pelatih futsal,
O2xb1lVqUv4,@jimy521,"Gw g nyangka hidup di era technologi scanggih ini ??<br>Skrg makin sulit bedain vdio AI atau gk, bahkan suara bsa di tiru . <br>Mkin lama mkin matang ni AI, liat vdio hewan g ada yg aneh, lama2 kok bsa nge fuck tu hewan. <br>Astagaa dlu jaman gw SMP di tunjukin vdio anak durhaka jadi ikan pari di nokia udh heboh",
O2xb1lVqUv4,@reebud,"HP yg paling berkesan dulu, Phillips Xenium 9@9 .....batrenya sekali charge penuh bisa buat seminggu.",
O2xb1lVqUv4,@agusmahendra705,Sebelum beli gadget.<br>kalo mau simple padat nonton david gadgetin<br>kalo mau sangat detail jagat review,
O2xb1lVqUv4,@aero_cats,User ipon bilang fitur andro banyak yg ngga guna ketika mereka kalah telak hahah,
O2xb1lVqUv4,@chanellblank342,"Masih setia dengan huawei mate xt  ,  iphone  NOoo !!!",
O2xb1lVqUv4,@calonpejuang6919,Beli hp yg sesuai kebutuhan dan sesuai kemampuan... Yg realitas dan jng pamer saja??,
O2xb1lVqUv4,@RadhityaJulian,"<a href=""https://www.youtube.com/watch?v=O2xb1lVqUv4&amp;t=738"">12:18</a> tp kan dengan perkataan otu perlu ilmu,makanya ilmu itu mahal",
O2xb1lVqUv4,@DediHamdan,"Nonton <a href=""https://www.youtube.com/watch?v=O2xb1lVqUv4&amp;t=2774"">46:14</a> menit<br>Terasa sangat cepat ??",
O2xb1lVqUv4,@nrimocom,"Blom ada dua menit, uda straight to the point aja bang...??",
O2xb1lVqUv4,@sopandidariratakan3023,"Obrolan super menarik seputar smartphone bersama ahlinya, Bang Dedy Irvan... ?? Jagat Review channel review HP terbaik ??",
O2xb1lVqUv4,@DepoPlafon,iPhone ???,
O2xb1lVqUv4,@wbyanny2624,iohone skrg lbh rentan rusak setelah ip xr tercelup air mati total lalu ip12 kwna ic wifi sampe ber minggu&quot; ga selasai masalahnya... sy penguna iphone dr ip5 sampe ip12 dan ga niat lg krn setiap rusak makan waktu ber bulan&quot; dan batere selalu cepat habis dan panas,
O2xb1lVqUv4,@saltyan88,Huawei punya kualitas dan ekosistem yang bagus<br>Sayang gak bisa pakai kalau di indo,
O2xb1lVqUv4,@boeya,saya pake iphone 8 ram 2 giga sdh 13 tahun serasa pake android yg 8 giga dan worth it masih enak dipaake banting kiri dan kanan jatuh gak apa2... gimana klo pake ip 13-17???,
O2xb1lVqUv4,@apapunamanya12345,Kenapa kalian gak pernah bahas penyebab iPhone jadi mahal harga jualnya di Endonesya.??<br><br>Kenapa? Apa yg kalian takutkan???,
O2xb1lVqUv4,@FikaMahzila-d8n,"Saya pakai iphone sehari (24jam) bisa 2x cas. Kalau samsung atau pixel 20-24 jam 1x cas aja cukup. Samsung bisa foto bulan, iphone gak bisa",
O2xb1lVqUv4,@ujungpanas9198,"Lah hp Apple kan , emang komponen nya gabungan , dari banyak brand , yg disatukan,",
O2xb1lVqUv4,@apapunamanya12345,Podcast nya Helmy Yahya kok makin kebanyakan nyanjung²  Cina. Jadi gak menarik lagi.<br><br>Atau memag keturunan Cina ya?,
